gene	Esophagus...Mucosa	Pancreas	Pituitary	Whole.Blood	Cells...Transformed.fibroblasts	Minor.Salivary.Gland	Lung
ENSG00000265471.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000076716.7	5.574	8.1225	30.81	0.08308	3.658	10.68	33.49
ENSG00000206765.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000147257.9	1.67	4.8045	74.36	0.1151	4.516	14.73	196.8
ENSG00000227008.2	3.666	1.901	2.387	0.2653	5.095	2.846	3.029
ENSG00000211495.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000233260.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000232068.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000200572.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000224908.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000207572.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000208034.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000207812.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000207710.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000239594.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000207602.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000232664.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000272244.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000203952.5	0.5182	0.24915	1.017	0.001	0.02629	6.001	0.2621
ENSG00000214961.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000156531.12	7.358	3.2295	7.575	1.048	12.54	8.129	7.632
ENSG00000251962.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000165704.10	25.08	16.8	52.43	10.44	44.73	19.31	24.78
ENSG00000226107.1	0.3979	0.3202	1.938	0.001	0.5418	0.4412	0.8306
ENSG00000216001.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000199132.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000207755.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000207784.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000223749.3	0.3674	0.73705	70.16	0.5519	36.84	1.46	2.36
ENSG00000208005.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000227060.2	0.001	0.03303	1.331	0.001	0.5715	0.1089	0.07789
ENSG00000170965.5	0.001	0.001	0.08096	0.001	0.2194	0.05061	0.06049
ENSG00000235813.1	0.001	0.001	0.001	0.001	0.1187	0.001	0.001
ENSG00000236509.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000237432.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000199920.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000156504.12	20.64	9.123	30.27	6.297	26.84	20.82	29.36
ENSG00000156500.10	0.9774	0.24235	1.951	0.6367	1.256	1.154	2.52
ENSG00000101928.8	15.74	3.174	5.545	2.807	14.17	8.295	8.612
ENSG00000221299.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000207081.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000236091.1	0.1903	0.001	0.001	0.001	0.04726	0.001	0.001
ENSG00000231929.2	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000184785.4	5.018	2.501	10.59	0.5134	33.92	7.844	16.41
ENSG00000212747.3	29.9	4.4545	27.77	0.4395	34.13	21.83	26.45
ENSG00000134590.9	249.7	36.555	404.5	39.89	409.3	142.3	236.1
ENSG00000203950.6	98.66	19.575	112.2	13.12	110.2	63.88	79.72
ENSG00000228372.3	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000234228.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000196972.6	2.943	0.7733	7.004	0.03446	1.069	2.62	3.191
ENSG00000224107.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000232582.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000169551.8	0.001	0.001	0.001	0.001	0.001	0.001	0.02232
ENSG00000236491.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000228922.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000264894.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000227792.1	0.001	0.001	0.001	0.001	0.001	0.001	0.001
ENSG00000186376.10	5.114	4.437	8.584	1.902	7.533	7.483	9.806
ENSG00000238210.2	0.001	0.001	0.001	0.001	0.001	0.001	0.06349
